period,sp500,oil
152,1121.06,80.24
153,1089.47,78.09
154,1083.61,75.68
155,1079.25,75.39
156,1079.38,75.17
157,1092.54,75.76
158,1094.16,75.39
159,1075.63,74.45
160,1071.69,73.45
161,1067.36,72.71
162,1051.87,71.24
163,1055.33,72.07
164,1047.22,73.36
165,1064.59,75.17
166,1048.92,74.69
167,1049.33,71.93
168,1080.29,73.97
169,1090.1,74.99
170,1104.51,74.52
171,1091.84,73.98
172,1098.87,74.65
173,1104.18,74.25
174,1109.55,76.4
175,1121.9,77.17
176,1121.1,76.78
177,1125.07,75.92
178,1124.66,74.58
179,1125.59,73.63
180,1142.71,74.81
181,1139.78,72.96
182,1134.28,72.98
183,1124.83,73.4
184,1148.67,74.63
185,1142.16,76.51
186,1147.7,76.15
187,1144.73,77.85
188,1141.2,79.95
189,1146.24,81.57
190,1137.03,81.43
191,1160.75,82.83
192,1159.97,83.21
193,1158.06,81.34
194,1165.15,82.66
195,1165.32,82.18
196,1169.77,81.67
197,1178.1,83.03
198,1173.81,82.71
199,1176.19,81.23
200,1184.71,83.06
201,1165.9,79.57
202,1178.17,81.93
203,1180.26,80.03
204,1183.08,81.15
205,1185.62,82
206,1185.64,82.6
207,1182.45,81.9
208,1183.78,82.2
209,1183.26,81.45
210,1184.38,82.94
211,1193.57,83.91
212,1197.96,84.45
213,1221.06,86.49
214,1225.85,86.85
215,1223.25,87.07
216,1213.4,87.04
217,1218.71,87.77
218,1213.54,87.77
219,1199.21,84.89
220,1197.75,84.88
221,1178.34,82.33
222,1178.59,80.43
223,1196.69,81.88
224,1199.73,81.65
225,1197.84,81.24
226,1180.73,80.79
227,1198.35,83.21
228,1189.4,83.87
229,1187.76,85.73
230,1180.55,84.12
231,1206.07,86.75
232,1221.53,87.98
233,1224.71,89.18
234,1223.12,89.33
235,1223.75,88.69
236,1228.28,88.3
237,1233,88.35
238,1240.4,87.81
239,1240.46,88.62
240,1241.59,88.33
241,1235.23,88.66
242,1242.87,87.71
243,1243.91,88.02
244,1247.08,88.68
245,1254.6,89.3
246,1258.84,89.83
247,1256.77,90.84
248,1257.54,90.99
249,1258.51,91.48
250,1259.78,91.13
251,1257.88,89.85
252,1257.64,91.38
253,1271.87,91.59
254,1270.2,89.39
255,1276.56,90.3
256,1273.85,88.37
257,1271.5,88.07
258,1269.75,89.24
259,1274.48,91.11
260,1285.96,91.85
261,1283.76,91.39
262,1293.24,91.53
263,1295.02,91.38
264,1281.92,90.85
265,1280.26,88.56
266,1283.35,88.22
267,1290.84,86.74
268,1291.18,85.08
269,1296.63,86.15
270,1299.54,84.45
271,1276.34,88.15
272,1286.12,90.99
273,1307.59,89.54
274,1304.03,89.78
275,1307.1,89.42
276,1310.87,87.87
277,1319.05,86.3
278,1324.57,85.85
279,1320.88,85.59
280,1321.87,85.44
281,1329.15,84.39
282,1332.32,83.66
283,1328.01,83.13
284,1336.32,83.8
285,1340.43,85.05
286,1343.01,85.03
287,1315.44,92.65
288,1307.4,96.04
289,1306.1,95.83
290,1319.88,96.52
291,1327.22,97.1
292,1306.33,99.63
293,1308.44,102.27
294,1330.97,101.92
295,1321.15,104.34
296,1310.13,105.37
297,1321.82,105.06
298,1320.02,104.39
299,1295.11,102.73
300,1304.28,101.14
301,1296.39,101.2
302,1281.87,97.23
303,1256.88,97.99
304,1273.72,101.47
305,1279.21,101.06
306,1298.38,102.36
307,1293.77,104.53
308,1297.54,105.21
309,1309.66,105.04
310,1313.8,104.89
311,1310.19,103.54
312,1319.44,104.34
313,1328.26,103.8
314,1325.83,106.19
315,1332.41,107.55
316,1332.87,108.14
317,1332.63,107.82
318,1335.54,108.38
319,1333.51,109.82
320,1328.17,112.27
321,1324.46,109.5
322,1314.16,105.75
323,1314.41,106.6
324,1314.52,107.73
325,1319.68,109.17
326,1305.14,106.7
327,1312.62,107.18
328,1330.36,110.84
329,1337.38,111.72
330,1335.25,111.68
331,1347.24,111.72
332,1355.66,112.31
333,1360.48,112.38
334,1363.61,113.39
335,1361.22,113.03
336,1356.62,110.6
337,1347.32,108.79
338,1335.1,99.89
339,1340.2,96.87
340,1346.29,100.32
341,1357.16,103.39
342,1342.08,97.88
343,1348.65,98.53
344,1337.77,99.21
345,1329.47,96.91
346,1328.98,96.4
347,1340.68,99.52
348,1343.6,97.99
349,1333.27,99.15
350,1317.37,97.06
351,1316.28,99.13
352,1320.47,100.78
353,1325.69,100.18
354,1331.1,100.58
355,1345.2,102.7
356,1314.55,100.3
357,1312.94,100.41
358,1300.16,100.28
359,1286.17,99.07
360,1284.94,99.18
361,1279.56,100.77
362,1289,101.95
363,1270.98,99.3
364,1271.83,97.2
365,1287.87,99.37
366,1265.42,94.83
367,1267.64,94.95
368,1271.5,93.02
369,1278.36,93.23
370,1295.52,93.7
371,1287.14,94.96
372,1283.5,90.7
373,1268.45,90.89
374,1280.1,90.65
375,1296.67,92.9
376,1307.41,94.85
377,1320.64,95.3
378,1339.67,94.81
379,1337.88,96.92
380,1339.22,96.67
381,1353.22,98.7
382,1343.8,96.2
383,1319.49,95.16
384,1313.64,97.41
385,1317.72,98.04
386,1308.87,95.75
387,1316.14,97.24
388,1305.44,95.94
389,1326.73,97.49
390,1325.84,98.11
391,1343.8,98.96
392,1345.02,99.53
393,1337.43,98.97
394,1331.94,99.61
395,1304.89,97.4
396,1300.67,97.48
397,1292.28,95.68
398,1286.94,94.98
399,1254.05,93.78
400,1260.34,91.87
401,1200.07,86.75
402,1199.38,86.89
403,1119.46,81.27
404,1172.53,79.32
405,1120.76,83.05
406,1172.64,85.48
407,1178.81,85.19
408,1204.49,87.88
409,1192.76,86.65
410,1193.89,87.58
411,1140.65,82.38
412,1123.53,82.33
413,1123.82,84.42
414,1162.35,85.35
415,1177.6,84.99
416,1159.27,85.15
417,1176.8,85.37
418,1210.08,87.27
419,1212.92,88.9
420,1218.89,88.81
421,1204.42,88.93
422,1173.97,86.45
423,1165.24,85.99
424,1198.62,89.34
425,1185.9,89.05
426,1154.23,87.24
427,1162.27,88.19
428,1172.87,90.21
429,1188.68,88.91
430,1209.11,89.4
431,1216.01,87.96
432,1204.09,85.7
433,1202.09,86.92
434,1166.76,85.77
435,1129.56,80.29
436,1136.43,79.58
437,1162.95,79.97
438,1175.38,84.18
439,1151.06,80.94
440,1160.4,81.87
441,1131.42,78.93
442,1099.23,77.34
443,1123.95,75.4
444,1144.03,79.41
445,1164.97,82.32
446,1155.46,82.7
447,1194.89,85.14
448,1195.54,85.54
449,1207.25,85.3
450,1203.66,83.96
451,1224.58,86.8
452,1200.86,86.38
453,1225.38,88.34
454,1209.88,86.11
455,1215.39,86.07
456,1238.25,87.19
457,1254.19,91.12
458,1229.05,92.98
459,1242,90.2
460,1284.59,93.96
461,1285.09,93.32
462,1253.3,93.19
463,1218.28,92.19
464,1237.9,92.51
465,1261.15,94.07
466,1253.23,94.26
467,1261.12,95.52
468,1275.92,96.8
469,1229.1,95.74
470,1239.7,97.78
471,1263.85,98.99
472,1251.78,98.14
473,1257.81,99.37
474,1236.91,102.59
475,1216.13,98.82
476,1215.65,97.67
477,1192.98,96.73
478,1188.04,97.76
479,1161.79,96.16
480,1158.67,96.91
481,1192.55,98.21
482,1195.19,99.79
483,1246.96,100.36
484,1244.58,100.2
485,1244.28,100.97
486,1257.08,100.94
487,1258.47,101.25
488,1261.01,100.45
489,1234.35,98.35
490,1255.19,99.4
491,1236.47,97.77
492,1225.73,100.24
493,1211.82,94.92
494,1215.75,93.84
495,1219.66,93.55
496,1205.35,93.86
497,1241.3,97.16
498,1243.72,98.54
499,1254,99.42
500,1265.33,99.72
501,1265.43,101.29
502,1249.64,99.44
503,1263.02,99.68
504,1257.6,98.83
505,1277.06,102.96
506,1277.3,103.22
507,1281.06,101.81
508,1277.81,101.56
509,1280.7,101.31
510,1292.08,102.24
511,1292.48,100.89
512,1295.5,99.03
513,1289.09,98.69
514,1293.67,100.7
515,1308.04,100.61
516,1314.5,100.32
517,1315.38,98.15
518,1316,99.47
519,1314.65,98.84
520,1326.06,99.23
521,1318.43,99.76
522,1316.33,99.47
523,1313.01,98.75
524,1312.41,98.46
525,1324.09,97.63
526,1325.54,96.36
527,1344.9,97.8
528,1344.33,96.89
529,1347.05,98.55
530,1349.96,98.8
531,1351.95,99.88
532,1342.64,98.68
533,1351.77,100.39
534,1350.5,100.82
535,1343.23,101.82
536,1358.04,102.33
537,1361.23,103.27
538,1362.21,105.88
539,1357.66,105.99
540,1363.46,107.44
541,1365.74,109.39
542,1367.59,108.49
543,1372.18,106.59
544,1365.68,107.08
545,1374.09,108.76
546,1369.63,106.68
547,1364.33,106.7
548,1343.36,104.71
549,1352.63,106.16
550,1365.91,106.65
551,1370.87,107.4
552,1371.09,106.34
553,1395.95,106.7
554,1394.28,105.49
555,1402.6,105.19
556,1404.17,107.03
557,1409.75,108.09
558,1405.52,105.68
559,1402.89,106.87
560,1392.78,104.98
561,1397.11,106.43
562,1416.51,107.07
563,1412.52,107.32
564,1405.54,105.4
565,1403.28,102.79
566,1408.47,103.03
567,1419.04,105.25
568,1413.38,104.02
569,1398.96,101.53
570,1398.08,103.29
571,1382.2,102.45
572,1358.59,101.12
573,1368.71,102.66
574,1387.57,103.69
575,1370.26,102.84
576,1369.57,102.92
577,1390.78,104.23
578,1385.14,102.65
579,1376.92,102.38
580,1378.53,103.58
581,1366.94,102.68
582,1371.97,103.1
583,1390.69,103.72
584,1399.98,104.56
585,1403.36,104.86
586,1397.91,104.89
587,1405.82,106.17
588,1402.31,105.25
589,1391.57,102.56
590,1369.1,98.49
591,1369.58,97.86
592,1363.72,97.13
593,1354.58,96.8
594,1357.99,97.1
595,1353.39,96.03
596,1338.35,94.75
597,1330.66,93.97
598,1324.8,92.78
599,1304.86,92.53
600,1295.22,91.51
601,1315.99,92.57
602,1316.63,91.44
603,1318.86,89.4
604,1320.68,90.36
605,1317.82,90.64
606,1332.42,90.75
607,1313.32,87.79
608,1310.33,86.52
609,1278.04,83.17
610,1278.18,83.95
611,1285.5,84.31
612,1315.13,85.05
613,1314.99,84.78
614,1325.66,84.08
615,1308.93,82.58
616,1324.18,83.35
617,1314.88,82.56
618,1329.1,83.83
619,1342.84,84.03
620,1344.78,83.26
621,1357.98,83.99
622,1355.69,81.06
623,1325.51,77.91
624,1335.02,79.33
625,1313.72,78.76
626,1319.99,79.34
627,1331.85,80.27
628,1329.04,77.72
629,1362.16,85.04
630,1365.51,83.72
631,1374.02,87.74
632,1367.58,87.11
633,1354.68,84.37
634,1352.46,85.93
635,1341.47,83.92
636,1341.45,85.88
637,1334.76,86.02
638,1356.78,87.15
639,1353.64,88.41
640,1363.67,89.07
641,1372.78,89.88
642,1376.51,92.78
643,1362.66,91.56
644,1350.52,87.77
645,1338.31,88.28
646,1337.89,88.8
647,1360.02,89.4
648,1385.97,90.13
649,1385.3,89.8
650,1379.32,88.08
651,1375.32,88.99
652,1365,87.22
653,1390.99,91.4
654,1394.23,92.3
655,1401.35,93.68
656,1402.22,93.39
657,1402.8,93.39
658,1405.87,92.94
659,1404.11,92.76
660,1403.93,93.4
661,1405.53,94.35
662,1415.51,95.66
663,1418.16,96
664,1418.13,96.03
665,1413.17,96.55
666,1413.49,96.89
667,1402.08,95.87
668,1411.13,95.78
669,1410.44,95.54
670,1409.3,96.3
671,1410.49,95.5
672,1399.48,94.61
673,1406.58,96.47
674,1404.94,95.34
675,1403.44,95.37
676,1432.12,95.58
677,1437.92,96.41
678,1429.08,96.52
679,1433.56,97.03
680,1436.56,97.02
681,1459.99,98.3
682,1465.77,98.94
683,1461.19,96.51
684,1459.32,95.25
685,1461.05,91.97
686,1460.26,92.14
687,1460.15,92.64
688,1456.89,91.68
689,1441.59,91.07
690,1433.32,89.92
691,1447.15,91.89
692,1440.67,92.18
693,1444.49,92.44
694,1445.75,91.88
695,1450.99,88.19
696,1461.4,91.69
697,1460.93,89.87
698,1455.88,89.43
699,1441.48,92.42
700,1432.56,91.24
701,1432.84,92.19
702,1428.59,91.83
703,1440.13,91.84
704,1454.92,92.07
705,1460.91,92.04
706,1457.34,92
707,1433.19,90
708,1433.82,88.3
709,1413.11,86.65
710,1408.75,85.39
711,1412.97,85.59
712,1411.94,85.84
713,1412.16,86.23
714,1427.59,87.05
715,1414.2,84.9
716,1417.26,85.64
717,1428.39,88.62
718,1394.53,84.5
719,1377.51,85.07
720,1379.85,86.08
721,1380.03,85.56
722,1374.53,85.38
723,1355.49,86.32
724,1353.33,85.45
725,1359.88,86.62
726,1386.89,89.05
727,1387.81,86.46
728,1391.03,87.08
729,1409.15,87.01
730,1406.29,87.28
731,1398.94,86.81
732,1409.93,86.1
733,1415.95,87.64
734,1416.18,88.54
735,1409.46,88.69
736,1407.05,88.04
737,1409.28,87.36
738,1413.94,85.47
739,1418.07,85.45
740,1418.55,85.14
741,1427.84,85.36
742,1428.48,86.35
743,1419.45,85.39
744,1413.58,86.32
745,1430.36,86.71
746,1446.79,87.46
747,1435.81,89.09
748,1443.69,89.76
749,1430.15,88.2
750,1426.66,88.29
751,1419.83,90.71
752,1418.1,90.91
753,1402.43,90.66
754,1426.19,91.83
755,1462.42,93.14
756,1459.37,92.97
757,1466.47,93.12
758,1461.89,93.2
759,1457.15,93.21
760,1461.02,93.08
761,1472.12,93.81
762,1472.05,93.6
763,1470.68,94.27
764,1472.34,93.26
765,1472.63,94.28
766,1480.94,95.49
767,1485.98,95.61
768,1492.56,96.09
769,1494.81,95.06
770,1494.82,95.35
771,1502.96,95.15
772,1500.18,95.95
773,1507.84,97.62
774,1501.96,97.98
775,1498.11,97.65
776,1513.17,97.46
777,1495.71,96.21
778,1511.29,96.68
779,1512.12,96.44
780,1509.39,95.84
781,1517.93,95.71
782,1517.01,97.01
783,1519.43,97.48
784,1520.33,97.03
785,1521.38,97.3
786,1519.79,95.95
787,1530.94,96.69
788,1511.95,94.92
789,1502.42,92.79
790,1515.6,93.12
791,1487.85,92.74
792,1496.94,92.63
793,1515.99,92.84
794,1514.68,92.03
795,1518.2,90.71
796,1525.2,90.13
797,1539.79,90.88
798,1541.46,90.47
799,1544.26,91.53
800,1551.18,92.01
801,1556.22,92.07
802,1552.48,92.44
803,1554.52,92.47
804,1563.23,93.03
805,1560.7,93.49
806,1552.1,93.71
807,1548.34,92.44
808,1558.71,93.21
809,1545.8,92.46
810,1556.89,93.41
811,1551.69,94.55
812,1563.77,95.99
813,1562.85,96.53
814,1569.19,97.24
815,1562.17,97.1
816,1570.25,97.23
817,1553.69,95.02
818,1559.98,93.26
819,1553.28,92.76
820,1563.07,93.36
821,1568.61,94.18
822,1587.73,94.59
823,1593.37,93.44
824,1588.85,91.23
825,1552.36,88.75
826,1574.57,88.73
827,1552.01,86.65
828,1541.61,87.83
829,1555.25,88.04
830,1562.5,88.81
831,1578.78,89.21
832,1578.79,91.07
833,1585.16,93.27
834,1582.24,92.63
835,1593.61,94.09
836,1597.57,93.22
837,1582.7,90.74
838,1597.59,93.7
839,1614.42,95.25
840,1617.5,95.8
841,1625.96,95.28
842,1632.69,96.24
843,1626.67,96.09
844,1633.7,95.81
845,1633.77,94.76
846,1650.34,93.96
847,1658.78,93.95
848,1650.47,94.85
849,1667.47,95.72
850,1666.29,96.29
851,1669.16,95.55
852,1655.35,93.98
853,1650.51,94.12
854,1649.6,93.84
855,1660.06,94.65
856,1648.36,93.13
857,1654.41,93.57
858,1630.74,91.93
859,1640.42,93.41
860,1631.38,93.36
861,1608.9,93.66
862,1622.56,94.71
863,1643.38,96.11
864,1642.81,95.82
865,1626.13,95.5
866,1612.52,95.98
867,1636.36,96.66
868,1626.73,97.83
869,1639.04,97.86
870,1651.81,98.46
871,1628.93,98.24
872,1588.19,94.89
873,1592.43,93.81
874,1573.09,95.07
875,1588.03,95.25
876,1603.26,95.47
877,1613.2,97
878,1606.28,96.36
879,1614.96,97.94
880,1614.08,99.65
881,1615.41,101.92
882,1631.89,103.09
883,1640.46,103.03
884,1652.32,103.46
885,1652.62,106.41
886,1675.02,104.77
887,1680.19,105.85
888,1682.5,106.2
889,1676.26,105.88
890,1680.91,106.39
891,1689.37,107.94
892,1692.09,108
893,1695.53,106.61
894,1692.39,107.13
895,1685.94,105.41
896,1690.25,105.47
897,1691.65,104.76
898,1685.33,104.61
899,1685.96,103.14
900,1685.73,105.1
901,1706.87,107.93
902,1709.67,106.94
903,1707.14,106.61
904,1697.37,105.32
905,1690.91,104.41
906,1697.48,103.45
907,1691.42,106.04
908,1689.47,106.19
909,1694.16,106.78
910,1685.39,106.89
911,1661.32,107.43
912,1655.83,107.58
913,1646.06,107.14
914,1652.35,104.9
915,1642.8,103.93
916,1656.96,104.93
917,1663.5,106.48
918,1656.78,105.88
919,1630.48,109.11
920,1634.96,110.17
921,1638.17,108.51
922,1632.97,107.98
923,1639.77,108.67
924,1653.08,107.29
925,1655.08,108.5
926,1655.17,110.62
927,1671.71,109.62
928,1683.99,107.48
929,1689.13,107.65
930,1683.42,108.72
931,1687.99,108.31
932,1697.6,106.54
933,1704.76,105.36
934,1725.52,108.23
935,1722.34,106.26
936,1709.91,104.7
937,1701.84,103.62
938,1697.42,103.22
939,1692.77,102.68
940,1698.67,103.1
941,1691.75,102.86
942,1681.55,102.36
943,1695,102.09
944,1693.87,104.15
945,1678.66,103.29
946,1690.5,103.83
947,1676.12,103.07
948,1655.45,103.54
949,1656.4,101.63
950,1692.56,103.08
951,1703.2,102.17
952,1710.14,102.46
953,1698.06,101.15
954,1721.54,102.34
955,1733.15,100.72
956,1744.5,100.87
957,1744.66,99.28
958,1754.67,97.63
959,1746.38,96.9
960,1752.07,96.65
961,1759.77,97.4
962,1762.11,98.74
963,1771.95,98.29
964,1763.31,96.81
965,1756.54,96.29
966,1761.64,94.56
967,1767.93,94.58
968,1762.97,93.4
969,1770.49,94.74
970,1747.15,94.25
971,1770.61,94.56
972,1771.89,95.13
973,1767.69,93.12
974,1782,93.91
975,1790.62,93.76
976,1798.18,93.8
977,1791.53,93.03
978,1787.87,93.35
979,1781.37,93.34
980,1795.85,95.35
981,1804.76,94.53
982,1802.48,93.86
983,1802.75,93.41
984,1807.23,92.05
985,1805.81,92.55
986,1800.9,93.61
987,1795.15,95.83
988,1792.81,96.97
989,1785.03,97.14
990,1805.09,97.48
991,1808.37,97.1
992,1802.62,98.32
993,1782.22,97.25
994,1775.5,97.21
995,1775.32,96.27
996,1786.54,97.18
997,1781,96.99
998,1810.65,97.59
999,1809.6,98.4
1000,1818.32,99.11
1001,1827.99,98.62
1002,1833.32,98.87
1003,1842.02,99.18
1004,1841.4,99.94
1005,1841.07,98.9
1006,1848.36,98.17
1007,1831.98,95.14
1008,1831.37,93.66
1009,1826.77,93.12
1010,1837.88,93.31
1011,1837.49,91.9
1012,1838.13,91.36
1013,1842.37,92.39
1014,1819.2,91.45
1015,1838.88,92.15
1016,1848.38,93.78
1017,1845.89,93.54
1018,1838.7,93.96
1019,1843.8,94.51
1020,1844.86,96.35
1021,1828.46,97.23
1022,1790.29,96.66
1023,1781.56,95.82
1024,1792.5,97.49
1025,1774.2,97.34
1026,1794.19,98.25
1027,1782.59,97.55
1028,1741.89,96.44
1029,1755.2,97.24
1030,1751.64,97.4
1031,1773.43,97.84
1032,1797.02,99.98
1033,1799.84,100.12
1034,1819.75,99.96
1035,1819.26,100.38
1036,1829.83,100.27
1037,1838.63,100.31
1038,1840.76,102.54
1039,1828.75,103.46
1040,1839.78,103.2
1041,1836.25,102.53
1042,1847.61,103.17
1043,1845.12,102.2
1044,1845.16,102.93
1045,1854.29,102.68
1046,1859.45,102.88
1047,1845.73,105.34
1048,1873.91,103.64
1049,1873.81,101.75
1050,1877.03,101.82
1051,1878.04,102.82
1052,1877.17,101.39
1053,1867.63,100.29
1054,1868.2,98.29
1055,1846.34,98.57
1056,1841.13,99.23
1057,1858.83,98.43
1058,1872.25,100.08
1059,1860.77,100.71
1060,1872.01,99.68
1061,1866.52,99.97
1062,1857.44,100.05
1063,1865.62,99.66
1064,1852.56,100.61
1065,1849.04,101.25
1066,1857.62,101.73
1067,1872.34,101.57
1068,1885.52,99.69
1069,1890.9,99.6
1070,1888.77,100.29
1071,1865.09,101.16
1072,1845.04,100.43
1073,1851.96,102.57
1074,1872.18,103.55
1075,1833.08,103.37
1076,1815.69,103.68
1077,1830.61,104.05
1078,1842.98,103.7
1079,1862.31,103.71
1080,1864.85,104.33
1081,1871.89,104.35
1082,1879.55,101.69
1083,1875.39,101.47
1084,1878.61,102.2
1085,1863.4,100.85
1086,1869.43,101.13
1087,1878.33,101.56
1088,1883.95,100.07
1089,1883.68,99.69
1090,1881.14,100.09
1091,1884.66,99.74
1092,1867.72,99.81
1093,1878.21,101.06
1094,1875.63,100.52
1095,1878.48,100.32
1096,1896.65,100.89
1097,1897.45,102.01
1098,1888.53,102.63
1099,1870.85,101.74
1100,1877.86,102.31
1101,1885.08,102.95
1102,1872.83,102.8
1103,1888.03,104.31
1104,1892.49,104.03
1105,1900.53,105.01
1106,1911.91,104.78
1107,1909.78,103.37
1108,1920.03,104.26
1109,1923.57,103.4
1110,1924.97,103.07
1111,1924.24,103.34
1112,1927.88,103.27
1113,1940.46,103.17
1114,1949.44,103.32
1115,1951.27,105.09
1116,1950.79,105.02
1117,1943.89,105.04
1118,1930.11,107.2
1119,1936.16,107.49
1120,1937.78,107.52
1121,1941.99,106.95
1122,1956.98,106.64
1123,1959.48,107.08
1124,1962.87,107.95
1125,1962.61,106.83
1126,1949.98,106.64
1127,1959.53,107.04
1128,1957.22,106.49
1129,1960.96,106.46
1130,1960.23,106.07
1131,1973.32,106.06
1132,1974.62,105.18
1133,1985.44,104.76
1134,1977.65,104.19
1135,1963.71,104.06
1136,1972.83,102.93
1137,1964.68,103.61
1138,1967.57,101.48
1139,1977.1,101.73
1140,1973.28,100.56
1141,1981.57,101.88
1142,1958.12,103.84
1143,1978.22,103.83
1144,1973.63,105.34
1145,1983.53,104.59
1146,1987.01,103.81
1147,1987.98,102.76
1148,1978.34,105.23
1149,1978.91,105.68
1150,1969.95,104.91
1151,1970.07,104.29
1152,1930.67,98.23
1153,1925.15,97.86
1154,1938.99,98.26
1155,1920.21,97.34
1156,1920.24,96.93
1157,1909.57,97.34
1158,1931.59,97.61
1159,1936.92,98.09
1160,1933.75,97.36
1161,1946.72,97.57
1162,1955.18,95.54
1163,1955.06,97.3
1164,1971.74,96.44
1165,1981.6,94.35
1166,1986.51,96.4
1167,1992.37,93.97
1168,1988.4,93.61
1169,1997.92,95.39
1170,2000.02,95.78
1171,2000.12,95.82
1172,1996.74,96.44
1173,2003.37,97.86
1174,2002.28,92.92
1175,2000.72,95.5
1176,1997.65,94.51
1177,2007.71,93.32
1178,2001.54,92.64
1179,1988.44,92.73
1180,1995.69,91.71
1181,1997.45,92.89
1182,1985.54,92.18
1183,1984.13,92.86
1184,1998.98,94.91
1185,2001.57,94.33
1186,2011.36,93.07
1187,2010.4,92.43
1188,1994.29,91.46
1189,1982.77,91.55
1190,1998.3,93.6
1191,1965.99,93.59
1192,1982.85,95.55
1193,1977.8,94.53
1194,1972.29,91.17
1195,1946.16,90.74
1196,1946.17,91.02
1197,1967.9,89.76
1198,1964.82,90.33
1199,1935.1,88.89
1200,1968.89,87.29
1201,1928.21,85.76
1202,1906.13,85.87
1203,1874.74,85.73
1204,1877.7,81.72
1205,1862.49,81.82
1206,1862.76,82.33
1207,1886.76,82.8
1208,1904.01,82.76
1209,1941.28,83.25
1210,1927.11,80.52
1211,1950.82,82.81
1212,1964.58,81.27
1213,1961.63,81.26
1214,1985.05,81.36
1215,1982.3,82.25
1216,1994.65,81.06
1217,2018.05,80.53
1218,2017.81,78.77
1219,2012.1,77.15
1220,2023.57,78.71
1221,2031.21,77.87
1222,2031.92,78.71
1223,2038.26,77.43
1224,2039.68,77.85
1225,2038.25,77.16
1226,2039.33,74.13
1227,2039.82,75.91
1228,2041.32,75.64
1229,2051.8,74.55
1230,2048.72,74.55
1231,2052.75,75.63
1232,2063.5,76.52
1233,2069.41,75.74
1234,2067.03,74.04
1235,2072.83,73.7
1236,2067.56,65.94
1237,2053.44,68.98
1238,2066.55,66.99
1239,2074.33,67.3
1240,2071.92,66.73
1241,2075.37,65.89
1242,2060.31,63.13
1243,2059.82,63.74
1244,2026.14,60.99
1245,2035.33,60.01
1246,2002.33,57.81
1247,1989.63,55.96
1248,1972.74,55.97
1249,2012.89,56.43
1250,2061.23,54.18
1251,2070.65,56.91
