period,sp500,oil
1,1132.99,81.52
2,1136.52,81.74
3,1137.14,83.12
4,1141.69,82.6
5,1144.98,82.74
6,1146.98,82.54
7,1136.22,80.79
8,1145.68,79.66
9,1148.46,79.35
10,1136.03,77.96
11,1150.23,78.98
12,1138.04,77.42
13,1116.48,75.84
14,1091.76,74.25
15,1096.78,74.9
16,1092.17,74.67
17,1097.5,73.64
18,1084.53,73.62
19,1073.87,72.85
20,1089.19,74.41
21,1103.32,77.21
22,1097.28,76.96
23,1063.11,73.13
24,1066.19,71.15
25,1056.74,71.87
26,1070.52,73.71
27,1068.13,74.48
28,1078.47,75.23
29,1075.51,74.11
30,1094.87,76.98
31,1099.51,77.27
32,1106.75,78.97
33,1109.17,79.77
34,1108.01,80.04
35,1094.6,78.61
36,1105.24,79.75
37,1102.94,77.99
38,1104.49,79.72
39,1115.71,78.71
40,1118.31,79.62
41,1118.79,80.91
42,1122.97,80.21
43,1138.7,81.5
44,1138.5,81.85
45,1140.45,81.5
46,1145.61,82.07
47,1150.24,82.1
48,1149.99,81.26
49,1150.51,79.79
50,1159.46,81.75
51,1166.21,82.93
52,1165.83,82.16
53,1159.9,80.58
54,1165.81,81.26
55,1174.17,81.68
56,1167.72,80.29
57,1165.73,80.25
58,1166.59,79.75
59,1173.22,81.92
60,1173.27,82.14
61,1169.43,83.45
62,1178.1,84.53
63,1187.44,86.36
64,1189.44,86.54
65,1182.45,85.64
66,1186.44,85.17
67,1194.37,84.6
68,1196.48,84.07
69,1197.3,83.8
70,1210.65,85.62
71,1211.67,85.25
72,1192.13,82.97
73,1197.52,81.52
74,1207.17,82.98
75,1205.94,82.78
76,1208.67,82.89
77,1217.28,84.34
78,1212.05,84.2
79,1183.71,82.43
80,1191.36,83.22
81,1206.78,85.17
82,1186.69,86.07
83,1202.26,86.19
84,1173.6,82.73
85,1165.87,80
86,1128.15,77.18
87,1110.88,75.1
88,1159.73,76.89
89,1155.79,76.37
90,1171.67,75.65
91,1157.44,74.38
92,1135.68,71.61
93,1136.94,70.08
94,1120.8,69.38
95,1115.05,69.91
96,1071.59,68.28
97,1087.69,68.03
98,1073.65,68.23
99,1074.03,64.78
100,1067.95,71.52
101,1103.06,74.56
102,1089.41,74
103,1070.71,72.7
104,1098.38,72.88
105,1102.83,74.62
106,1064.88,71.43
107,1050.47,71.55
108,1062,71.88
109,1055.69,74.38
110,1086.84,75.48
111,1091.6,73.89
112,1089.63,74.99
113,1115.23,76.84
114,1114.61,77.67
115,1116.04,76.82
116,1117.51,77.18
117,1113.2,77.84
118,1095.31,77.15
119,1092.04,75.9
120,1073.69,75.96
121,1076.76,78.45
122,1074.57,78.26
123,1041.24,75.93
124,1030.71,75.59
125,1027.37,72.95
126,1022.58,72.06
127,1028.06,71.96
128,1060.27,74.05
129,1070.25,75.46
130,1077.96,76.08
131,1078.75,74.93
132,1095.34,77.16
133,1095.17,77.02
134,1096.48,76.67
135,1064.88,75.96
136,1071.25,76.53
137,1083.48,77.32
138,1069.59,76.27
139,1093.67,79.01
140,1102.66,78.68
141,1115.01,78.93
142,1113.84,77.46
143,1106.13,77.06
144,1101.53,78.3
145,1101.6,78.85
146,1125.86,81.25
147,1120.46,82.52
148,1127.24,82.49
149,1125.81,82
150,1121.64,80.67
151,1127.79,81.46
