exp_educ,SEX,age79,afqt,numkids84,black,hisp
12,"FEMALE",17,17,0,1,0
12,"FEMALE",17,4,2,1,0
16,"FEMALE",17,38,2,0,0
14,"FEMALE",16,33,0,0,0
12,"FEMALE",17,47,0,0,0
12,"FEMALE",16,85,0,0,0
16,"FEMALE",17,73,0,0,0
16,"FEMALE",16,69,0,1,0
16,"FEMALE",17,10,0,1,0
12,"FEMALE",17,27,0,0,0
16,"FEMALE",16,37,1,1,0
8,"FEMALE",16,21,1,0,0
12,"FEMALE",16,39,1,0,0
16,"FEMALE",17,48,0,0,0
14,"FEMALE",17,1,1,1,0
16,"FEMALE",16,80,0,0,0
15,"FEMALE",16,25,0,0,0
14,"FEMALE",16,44,0,0,0
13,"FEMALE",17,53,0,0,0
12,"FEMALE",17,12,0,0,0
12,"FEMALE",16,8,0,0,0
10,"FEMALE",17,26,1,0,0
14,"FEMALE",17,47,0,0,0
16,"FEMALE",17,75,0,0,0
16,"FEMALE",16,84,0,0,0
16,"FEMALE",16,98,0,0,0
16,"FEMALE",17,19,0,1,0
12,"FEMALE",17,18,0,1,0
12,"FEMALE",16,6,1,1,0
16,"FEMALE",16,63,0,0,1
14,"FEMALE",16,1,1,0,1
16,"FEMALE",17,76,1,0,0
12,"FEMALE",17,48,1,0,0
12,"FEMALE",16,17,1,0,0
10,"FEMALE",17,14,3,0,0
12,"FEMALE",17,4,2,0,1
12,"FEMALE",17,75,,0,0
12,"FEMALE",17,48,0,0,0
12,"FEMALE",17,6,1,1,0
17,"FEMALE",17,5,0,1,0
14,"FEMALE",16,11,3,1,0
7,"FEMALE",16,8,0,0,1
12,"FEMALE",17,44,0,0,1
12,"FEMALE",16,15,0,0,0
16,"FEMALE",16,34,0,1,0
12,"FEMALE",17,16,2,1,0
12,"FEMALE",17,49,0,0,0
12,"FEMALE",17,3,3,1,0
12,"FEMALE",16,40,1,0,0
12,"FEMALE",16,22,1,0,1
18,"FEMALE",16,24,0,0,1
14,"FEMALE",16,32,0,0,1
16,"FEMALE",16,65,1,0,0
12,"FEMALE",17,17,0,0,0
11,"FEMALE",17,11,1,0,0
16,"FEMALE",17,62,0,0,0
16,"FEMALE",16,89,0,0,0
18,"FEMALE",17,99,0,0,0
16,"FEMALE",17,59,0,0,0
16,"FEMALE",16,97,0,0,0
11,"FEMALE",16,10,1,0,1
16,"FEMALE",17,89,0,0,0
16,"FEMALE",16,95,0,0,0
14,"FEMALE",16,21,0,0,0
16,"FEMALE",16,47,1,0,0
16,"FEMALE",16,8,0,0,1
18,"FEMALE",17,86,0,0,0
14,"FEMALE",17,35,0,0,0
16,"FEMALE",17,35,0,1,0
16,"FEMALE",16,24,0,0,1
12,"FEMALE",17,10,0,0,0
16,"FEMALE",16,20,0,0,0
14,"FEMALE",17,79,0,0,0
14,"FEMALE",16,84,0,0,0
16,"FEMALE",16,52,0,0,0
18,"FEMALE",16,92,0,0,1
12,"FEMALE",16,40,0,0,0
12,"FEMALE",17,8,2,0,0
16,"FEMALE",16,37,0,0,0
9,"FEMALE",16,49,1,0,0
17,"FEMALE",16,77,0,0,0
16,"FEMALE",17,73,0,0,0
16,"FEMALE",16,21,1,1,0
14,"FEMALE",17,21,1,0,1
12,"FEMALE",17,13,1,0,1
14,"FEMALE",17,65,0,0,0
16,"FEMALE",17,29,0,0,1
16,"FEMALE",16,91,0,0,0
