afqt,income,educ,age,black,hisp,coll,grad,hs,max_coll,mom_hs,mom_coll,dad_hs,dad_coll,ageyears
76,42000,18,"44",0,0,1,1,1,0,1,0,1,0,44
10,15600,11,"46",1,0,0,0,0,0,1,0,0,0,46
58,110000,12,"47",1,0,0,0,1,0,0,0,1,0,47
90,40000,12,"45",0,0,0,0,1,0,0,0,1,0,45
80,67000,13,"42",0,0,0,0,1,0,0,0,1,0,42
12,20000,12,"40",1,0,0,0,1,0,0,0,0,0,40
33,36000,14,"41",0,0,0,0,1,0,0,0,0,0,41
79,70000,12,"43",0,0,0,0,1,0,1,0,1,0,43
92,100000,16,"47",0,0,1,0,1,1,1,1,1,1,47
64,30000,12,"43",0,0,0,0,1,0,1,0,1,0,43
17,27000,12,"42",0,0,0,0,1,0,0,0,1,0,42
56,35000,14,"39",0,0,0,0,1,0,0,0,1,0,39
12,52000,10,"42",0,0,0,0,0,0,0,0,0,0,42
56,50000,12,"44",0,0,0,0,1,0,1,0,1,1,44
51,26000,12,"41",0,0,0,0,1,0,1,1,0,0,41
56,18000,12,"40",0,0,0,0,1,0,1,1,0,0,40
99,92000,20,"47",0,0,0,0,1,0,1,1,1,1,47
99,15000,19,"46",0,0,1,1,1,0,1,1,1,1,46
89,50000,12,"47",0,0,0,0,1,0,0,0,1,0,47
36,82000,12,"47",0,1,0,0,1,0,1,0,1,0,47
4,25000,12,"43",0,0,0,0,1,0,1,0,0,0,43
49,49000,12,"41",0,0,0,0,1,0,0,0,0,0,41
96,41000,14,"43",0,0,0,0,1,0,1,1,1,0,43
77,72000,16,"40",0,0,1,0,1,1,1,0,1,1,40
18,17000,12,"42",0,0,0,0,1,0,0,0,0,0,42
25,28000,12,"43",0,0,0,0,1,0,1,0,1,0,43
70,39000,13,"44",0,0,0,0,1,0,1,0,1,0,44
64,43000,18,"46",0,0,1,0,1,1,1,0,1,0,46
80,52000,16,"43",0,0,1,0,1,1,1,0,1,0,43
89,60000,16,"43",0,0,1,0,1,1,1,0,1,1,43
81,52000,14,"45",0,0,0,0,1,0,1,0,1,0,45
93,95000,16,"46",0,0,1,0,1,1,1,0,1,0,46
6,20000,12,"42",0,0,0,0,0,0,0,0,0,0,42
17,15000,12,"41",0,0,0,0,1,0,0,0,1,0,41
56,86000,15,"41",0,0,0,0,1,0,1,0,1,0,41
57,50000,18,"47",0,0,1,1,1,0,1,0,1,0,47
99,145000,19,"47",0,0,1,1,1,0,1,1,1,1,47
