year,taxrate,urate,rgdp
1990,33,5.6,1.9
1991,31,6.8,-.1
1992,31,7.5,3.6
1993,39.6,6.9,2.7
1994,39.6,6.1,4
1995,39.6,5.6,2.7
1996,39.6,5.4,3.8
1997,39.6,4.9,4.5
1998,39.6,4.5,4.5
1999,39.6,4.2,4.7
2000,39.6,4,4.1
2001,39.1,4.7,1
2002,38.6,5.8,1.8
2003,35,6,2.8
2004,35,5.5,3.8
2005,35,5.1,3.3
2006,35,4.6,2.7
2007,35,4.6,1.8
2008,35,5.8,-.3
2009,35,9.3,-2.8
2010,35,9.6,2.5
2011,35,8.9,1.6
2012,35,8.1,2.2
2013,39.6,7.4,1.7
2014,39.6,6.2,2.6
2015,39.6,5.3,2.9
2016,39.6,4.9,1.5
2017,39.6,4.4,2.3
