date,sp500_pct
12/6/2019,0.15696
12/13/2019,0.72761
12/20/2019,1.65425
12/27/2019,0.58363
1/3/2020,-0.15957
1/10/2020,0.94286
1/17/2020,1.96824
1/24/2020,-1.02564
1/31/2020,-2.12261
2/7/2020,3.16817
2/14/2020,1.57616
2/21/2020,-1.25467
2/28/2020,-11.49067
3/6/2020,0.61438
3/13/2020,-8.79265
3/20/2020,-14.9796
3/27/2020,10.26283
4/3/2020,-2.07832
4/10/2020,12.10174
4/17/2020,3.03747
4/24/2020,-1.31568
5/1/2020,-0.21257
5/8/2020,3.50054
5/15/2020,-2.25613
5/22/2020,3.2039
5/29/2020,3.00665
6/5/2020,4.91474
6/12/2020,-4.77844
6/19/2020,1.85545
6/26/2020,-2.86306
7/3/2020,4.01987
7/10/2020,1.75814
7/17/2020,1.24614
7/24/2020,-0.28219
7/31/2020,1.72563
8/7/2020,2.45054
8/14/2020,0.64363
8/21/2020,0.72076
8/28/2020,3.26302
9/4/2020,-2.31043
9/11/2020,-2.50922
9/18/2020,-0.64353
9/25/2020,-0.63293
10/2/2020,1.51525
10/9/2020,3.84328
10/16/2020,0.19211
10/23/2020,-0.52873
10/30/2020,-5.63948
11/6/2020,7.32364
11/13/2020,2.15732
11/20/2020,-0.77012
11/27/2020,2.27151
12/4/2020,1.67026
12/11/2020,-0.96401
12/18/2020,1.25428
12/25/2020,-0.17119
1/1/2021,1.43152
1/8/2021,1.82664
1/15/2021,-1.47542
1/22/2021,1.94308
1/29/2021,-3.31201
2/5/2021,4.64671
2/12/2021,1.23494
2/19/2021,-0.71464
2/26/2021,-2.44605
3/5/2021,0.80789
3/12/2021,2.63929
3/19/2021,-0.76686
3/26/2021,1.57011
4/2/2021,1.14051
4/9/2021,2.70979
4/16/2021,1.37255
4/23/2021,-0.12663
4/30/2021,0.02392
5/7/2021,1.23004
5/14/2021,-1.38804
5/21/2021,-0.43102
5/28/2021,1.16101
6/4/2021,0.61321
6/11/2021,0.4149
6/18/2021,-1.9068
6/25/2021,2.74214
7/2/2021,1.67356
7/9/2021,0.39542
7/16/2021,-0.97012
7/23/2021,1.95579
7/30/2021,-0.37468
8/6/2021,0.93874
8/13/2021,0.70957
8/20/2021,-0.5893
8/27/2021,1.5242
9/3/2021,0.57791
9/10/2021,-1.69444
9/17/2021,-0.57395
9/24/2021,0.50733
10/1/2021,-2.20941
10/8/2021,0.78723
10/15/2021,1.82245
10/22/2021,1.64446
10/29/2021,1.33072
11/5/2021,2.00092
11/12/2021,-0.3125
11/19/2021,0.32267
11/26/2021,-2.19968
12/3/2021,-1.22295
12/10/2021,3.82489
12/17/2021,-1.9393
12/24/2021,2.27566
12/31/2021,0.85467
1/7/2022,-1.87047
1/14/2022,-0.30318
1/21/2022,-5.68129
1/28/2022,0.77104
2/4/2022,1.54969
2/11/2022,-1.81956
2/18/2022,-1.57899
2/25/2022,0.82274
3/4/2022,-1.27217
3/11/2022,-2.87743
3/18/2022,6.15583
3/25/2022,1.79112
4/1/2022,0.06163
4/8/2022,-1.26665
4/15/2022,-2.132
4/22/2022,-2.75031
4/29/2022,-3.27381
5/6/2022,-0.20789
5/13/2022,-2.41188
5/20/2022,-3.04506
5/27/2022,6.58437
6/3/2022,-1.19522
6/10/2022,-5.05484
6/17/2022,-5.79411
6/24/2022,6.44654
7/1/2022,-2.20899
7/8/2022,1.93578
7/15/2022,-0.92887
7/22/2022,2.54895
7/29/2022,4.25734
8/5/2022,0.36075
8/12/2022,3.25582
8/19/2022,-1.2072
8/26/2022,-4.03975
9/2/2022,-3.28761
9/9/2022,3.64655
9/16/2022,-4.77042
9/23/2022,-4.64975
9/30/2022,-2.91371
10/7/2022,1.50713
10/14/2022,-1.55482
10/21/2022,4.7356
10/28/2022,3.95204
11/4/2022,-3.3455
11/11/2022,5.89781
11/18/2022,-0.69097
11/25/2022,1.53278
12/2/2022,1.13211
12/9/2022,-3.37255
12/16/2022,-2.0847
12/23/2022,-0.19572
12/30/2022,-0.13837
1/6/2023,1.44758
1/13/2023,2.67029
1/20/2023,-0.66215
1/27/2023,2.46563
2/3/2023,1.61943
2/10/2023,-1.11254
2/17/2023,-0.27796
2/24/2023,-2.67339
3/3/2023,1.90426
3/10/2023,-4.54934
3/17/2023,1.42558
3/24/2023,1.38767
3/31/2023,3.48326
4/7/2023,-0.1044
4/14/2023,0.79464
4/21/2023,-0.09957
4/28/2023,0.86996
5/5/2023,-0.79698
5/12/2023,-0.29423
5/19/2023,1.64643
5/26/2023,0.32133
6/2/2023,1.82906
6/9/2023,0.38507
6/16/2023,2.5758
6/23/2023,-1.38924
6/30/2023,2.34688
7/7/2023,-1.15563
7/14/2023,2.42035
7/21/2023,0.68628
7/28/2023,1.01161
8/4/2023,-2.274
8/11/2023,-0.31219
8/18/2023,-2.11333
8/25/2023,0.82385
9/1/2023,2.49812
9/8/2023,-1.29059
9/15/2023,-0.16085
9/22/2023,-2.92698
9/29/2023,-0.74096
10/6/2023,0.47691
10/13/2023,0.44749
10/20/2023,-2.3943
10/27/2023,-2.52808
11/3/2023,5.85252
11/10/2023,1.30554
11/17/2023,2.23725
11/24/2023,1.00398
12/1/2023,0.77402
12/8/2023,0.21199
12/15/2023,2.49372
12/22/2023,0.75098
12/29/2023,0.31969
1/5/2024,-1.52186
1/12/2024,1.84342
1/19/2024,1.17019
1/26/2024,1.05707
2/2/2024,1.38296
2/9/2024,1.37135
2/16/2024,-0.41857
2/23/2024,1.66275
3/1/2024,0.94875
3/8/2024,-0.26065
3/15/2024,-0.12881
3/22/2024,2.28821
3/29/2024,0.38535
4/5/2024,-0.95178
4/12/2024,-1.55505
4/19/2024,-3.04836
4/26/2024,2.67211
5/3/2024,0.54569
5/10/2024,1.8505
5/17/2024,1.54308
5/24/2024,0.02734
5/31/2024,-0.51294
6/7/2024,1.31653
6/14/2024,1.58239
6/21/2024,0.60792
6/28/2024,-0.07576
7/5/2024,1.95422
7/12/2024,0.86507
7/19/2024,-1.96515
7/26/2024,-0.83379
8/2/2024,-2.06151
8/9/2024,-0.04489
8/16/2024,3.93121
8/23/2024,1.44682
8/30/2024,0.24474
9/6/2024,-4.24864
9/13/2024,4.02336
9/20/2024,1.36029
9/27/2024,0.62463
10/4/2024,0.22481
10/11/2024,1.11214
10/18/2024,0.85365
10/25/2024,-0.96425
11/1/2024,-1.36567
11/8/2024,4.65612
11/15/2024,-2.08355
11/22/2024,1.68159
